Entity,Sentiment
alamaar - rudaini -,1.903
raqqaisburning,1.903
abu296h,1.903
fanboy,1.903
wavveymo thank,1.903
evo morales,1.903
maqdisi/qatadah,1.903
governmentjust,1.903
techchefians,1.903
ventilomorocco,1.903
'plan b',1.903
bolivian,1.903
rt wimluyckx,1.903
rt plustocks,1.903
tawhid al-uluhiyyah,1.903
abu kerry al-amriki,1.903
janviériste,1.9012499999999999
6.the,1.899625
the icc world twenty2,1.8947500000000002
this friday 10am,1.8935
belgiumattack,1.886101851851852
abu jahl abu lahab,1.8855
sandkhilafah,1.8831250000000002
omernorad,1.8735000000000002
hira mandhi,1.8735000000000002
429adwff,1.8735000000000002
fsa/jai,1.872375
maliha oil field northeast,1.85575
rt zaidbenjamin,1.851
translation]so wait,1.85
irresistible,1.85
mapapostated,1.85
th provincehttps,1.85
along,1.85
jub al-jarrah,1.85
mujahidinallahuakbaaaaaaaaaaranother vid,1.84225
the clear evidence of the infidelity in helping the crusader campaign upon the islamic caliphate,1.83975
proj_000,1.8379722222222223
"confident!""god",1.8375277777777779
fac,1.8318333333333334
the persian empire,1.8141666666666667
mubrak akhi,1.8047499999999999
klaushimusta,1.8046111111111112
mi5/mi6,1.8046111111111112
"tawagheet coalition""malaysia",1.796
alkurdi,1.7955
article reminds me,1.7873611111111112
yvonne ridley,1.7873611111111112
7+,1.7810000000000001
united states air force,1.7810000000000001
isis hackers join forces,1.7765000000000002
un/usa,1.7765000000000002
newslnfo ahrar,1.7765000000000002
fard kifaya,1.7765000000000002
the dungeons of al-salul,1.7765000000000002
sasukeee4,1.7685
to progress in,1.7685
sheik right?our group,1.755625
rt interbrigades,1.752375
a happy day,1.748125
safya roe yassin,1.7405833333333331
raqqah/iraq,1.74
monotheists,1.74
solidarity,1.74
ikhwani khalifah,1.74
allahtfoo,1.74
kufr constitution,1.74
us-coalition air force,1.74
encounter helping,1.74
1.kingdom,1.74
div,1.73475
burj al-zarour,1.73475
rt maghrebihd: breaking exclusiveal jazeera,1.73475
rt iq2016bgd,1.728375
himstart,1.71475
alhibbin,1.71475
mo'ataa agency,1.71475
rt warreporter1: mo'ataa agency,1.71475
bua'le town - media,1.7115
jobywarrick black flags:,1.7075277777777775
hol,1.7025
wsj,1.6917499999999999
yaroslav trofimov,1.6917499999999999
rss'khaki shorts,1.6869722222222223
abu abd al -rahman al -aqyili -,1.6797499999999999
rt 22gareb22: news of,1.6797499999999999
